time,open,high,low,close,volume,ticker
2019-03-01,4090,4260,4090,4160,4840,ELC
2019-03-04,4160,4260,4070,4090,15570,ELC
2019-03-05,4160,4160,4090,4090,36620,ELC
2019-03-06,4090,4120,4090,4090,5240,ELC
2019-03-07,4110,4190,4090,4090,50950,ELC
2019-03-08,4090,4120,4090,4090,38610,ELC
2019-03-11,4090,4120,4090,4120,19270,ELC
2019-03-12,4120,4410,4120,4410,104560,ELC
2019-03-13,4680,4680,4510,4560,152290,ELC
2019-03-14,4510,4510,4270,4410,104590,ELC
2019-03-15,4160,4270,4110,4120,191490,ELC
2019-03-18,4090,4130,4059,4090,70630,ELC
2019-03-19,4090,4090,3980,3980,60540,ELC
2019-03-20,3940,4090,3940,3980,45080,ELC
2019-03-21,4070,4070,3950,4040,7680,ELC
2019-03-22,4059,4059,3860,3910,41770,ELC
2019-03-25,3910,3910,3730,3890,32190,ELC
2019-03-26,3900,3900,3850,3900,18470,ELC
2019-03-27,3920,3920,3890,3900,12250,ELC
2019-03-28,3890,3890,3800,3860,7420,ELC
2019-03-29,4090,4090,3800,3870,6920,ELC
2019-04-01,3910,3980,3760,3920,20400,ELC
2019-04-02,3920,3950,3800,3950,14340,ELC
2019-04-03,3950,3980,3950,3960,1880,ELC
2019-04-04,3960,3960,3960,3960,27020,ELC
2019-04-05,3960,3960,3960,3960,0,ELC
2019-04-08,3860,3920,3840,3920,15540,ELC
2019-04-09,3860,3920,3860,3910,48340,ELC
2019-04-10,3890,3930,3860,3920,8220,ELC
2019-04-11,3910,3930,3860,3860,15970,ELC
2019-04-12,3920,3950,3920,3950,44480,ELC
2019-04-16,3950,3980,3840,3950,16890,ELC
2019-04-17,3920,4000,3920,3960,85520,ELC
2019-04-18,3970,4090,3950,3960,64370,ELC
2019-04-19,4090,4090,3940,4040,6990,ELC
2019-04-22,4040,4040,3760,3760,72780,ELC
2019-04-23,3760,3950,3760,3850,49780,ELC
2019-04-24,3950,3950,3860,3860,32430,ELC
2019-04-25,3860,3860,3860,3860,66870,ELC
2019-04-26,3810,4030,3810,3840,41560,ELC
2019-05-02,3840,3890,3840,3890,690,ELC
2019-05-03,3920,3930,3860,3930,13920,ELC
2019-05-06,3860,4190,3860,4090,84130,ELC
2019-05-07,4190,4270,3980,4160,69680,ELC
2019-05-08,4210,4240,3920,3930,53330,ELC
2019-05-09,3930,4070,3870,3890,3210,ELC
2019-05-10,3870,3900,3870,3900,6310,ELC
2019-05-13,3920,3920,3820,3840,3220,ELC
2019-05-14,3890,3900,3890,3890,14150,ELC
2019-05-15,3890,3920,3860,3920,1110,ELC
2019-05-16,3910,4040,3910,4040,63100,ELC
2019-05-17,4090,4090,3930,4030,80,ELC
2019-05-20,4090,4090,3920,3920,5200,ELC
2019-05-21,4030,4030,3870,3870,3460,ELC
2019-05-22,3870,3870,3810,3860,34570,ELC
2019-05-23,4040,4040,3810,3830,9430,ELC
2019-05-24,3810,3960,3810,3860,10610,ELC
2019-05-27,3860,3860,3860,3860,6700,ELC
2019-05-28,4010,4010,3860,3880,12600,ELC
2019-05-29,3870,4090,3870,4040,18650,ELC
2019-05-30,3990,4040,3990,3990,70140,ELC
2019-05-31,4090,4090,3990,3990,27120,ELC
2019-06-03,3990,3990,3870,3930,6500,ELC
2019-06-04,4160,4160,3930,4110,20430,ELC
2019-06-05,4110,4110,3980,4059,19280,ELC
2019-06-06,4059,4070,4059,4070,17450,ELC
2019-06-07,4070,4090,4070,4070,25310,ELC
2019-06-10,4100,4110,3940,4040,34250,ELC
2019-06-11,3980,4040,3980,3980,36420,ELC
2019-06-12,3980,4059,3960,3970,58030,ELC
2019-06-13,3980,4090,3960,3990,52130,ELC
2019-06-14,4090,4100,3990,4100,84850,ELC
2019-06-17,4160,4240,4010,4240,109140,ELC
2019-06-18,4160,4240,4090,4190,58390,ELC
2019-06-19,4180,4270,4160,4180,63650,ELC
2019-06-20,4090,4160,3980,3980,42060,ELC
2019-06-21,3980,4010,3980,3980,16760,ELC
2019-06-24,3990,4160,3990,4090,17360,ELC
2019-06-25,4090,4160,4040,4040,7250,ELC
2019-06-26,4090,4090,3950,4070,86310,ELC
2019-06-27,4059,4059,3960,3970,32560,ELC
2019-06-28,4019,4019,3920,3960,34710,ELC
2019-07-01,3980,3980,3960,3960,5720,ELC
2019-07-02,3980,3980,3960,3980,10210,ELC
2019-07-03,3980,4010,3920,3990,10150,ELC
2019-07-04,3970,4090,3970,3990,75850,ELC
2019-07-05,3980,4090,3980,3980,16010,ELC
2019-07-08,3990,4090,3980,4059,23850,ELC
2019-07-09,4090,4120,4040,4090,28430,ELC
2019-07-10,4090,4090,4040,4040,24520,ELC
2019-07-11,4090,4120,4040,4120,24480,ELC
2019-07-12,4090,4120,4040,4090,30560,ELC
2019-07-15,4090,4160,4040,4090,22990,ELC
2019-07-16,4090,4090,4040,4090,20910,ELC
2019-07-17,4059,4090,4010,4040,29240,ELC
2019-07-18,4040,4040,4010,4040,27810,ELC
