time,open,high,low,close,volume,ticker
2019-03-01,3980,3980,3960,3960,20,SGT
2019-03-04,3680,3960,3680,3720,400,SGT
2019-03-05,3930,3930,3930,3930,10,SGT
2019-03-06,3930,3930,3930,3930,150,SGT
2019-03-07,3790,3860,3790,3860,110,SGT
2019-03-08,3620,3620,3590,3620,1230,SGT
2019-03-11,3440,3440,3440,3440,170,SGT
2019-03-12,3680,3680,3440,3440,1270,SGT
2019-03-13,3440,3510,3440,3460,830,SGT
2019-03-14,3650,3650,3460,3460,1120,SGT
2019-03-15,3460,3700,3460,3700,8860,SGT
2019-03-18,3790,3790,3700,3720,5300,SGT
2019-03-19,3510,3720,3510,3720,2640,SGT
2019-03-20,3720,3720,3720,3720,100,SGT
2019-03-21,3930,3930,3930,3930,140,SGT
2019-03-22,3930,3930,3930,3930,0,SGT
2019-03-25,3860,3860,3860,3860,200,SGT
2019-03-26,3650,3660,3650,3650,10560,SGT
2019-03-27,3650,3650,3650,3650,0,SGT
2019-03-28,3650,3650,3650,3650,0,SGT
2019-03-29,3620,3650,3620,3650,170,SGT
2019-04-01,3650,3720,3590,3720,1700,SGT
2019-04-02,3720,3720,3720,3720,10600,SGT
2019-04-03,3790,3970,3790,3970,2990,SGT
2019-04-04,3970,4250,3980,4250,8570,SGT
2019-04-05,4250,4250,3950,3990,1780,SGT
2019-04-08,4059,4270,4059,4270,17460,SGT
2019-04-09,4480,4570,4480,4570,36130,SGT
2019-04-10,4750,4750,4750,4750,2100,SGT
2019-04-11,4960,5030,4750,4820,125640,SGT
2019-04-12,5100,5100,4650,4690,23830,SGT
2019-04-16,4690,4690,4680,4680,20230,SGT
2019-04-17,4610,4750,4550,4680,19760,SGT
2019-04-18,4680,4750,4680,4680,3420,SGT
2019-04-19,4720,4730,4410,4680,4490,SGT
2019-04-22,4690,4720,4690,4720,16830,SGT
2019-04-23,4750,4750,4650,4680,9920,SGT
2019-04-24,4680,4680,4650,4650,2770,SGT
2019-04-25,4670,4670,4610,4610,4520,SGT
2019-04-26,4610,4680,4580,4680,1730,SGT
2019-05-02,4680,4680,4680,4680,10,SGT
2019-05-03,4360,4610,4360,4360,10960,SGT
2019-05-06,4059,4410,4059,4410,2200,SGT
2019-05-07,4340,4480,4340,4410,5030,SGT
2019-05-08,4410,4410,4130,4130,11100,SGT
2019-05-09,4130,4410,4130,4410,220,SGT
2019-05-10,4480,4480,4340,4340,5540,SGT
2019-05-13,4550,4550,4480,4480,10010,SGT
2019-05-14,4480,4550,4340,4340,10250,SGT
2019-05-15,4510,4510,4340,4340,600,SGT
2019-05-16,4400,4480,4400,4480,260,SGT
2019-05-17,4340,4470,4340,4470,2400,SGT
2019-05-20,4540,4550,4270,4270,4530,SGT
2019-05-21,4260,4340,4260,4340,530,SGT
2019-05-22,4130,4340,4130,4130,1950,SGT
2019-05-23,4400,4410,4400,4410,358970,SGT
2019-05-24,4710,4710,4710,4710,2110,SGT
2019-05-27,5030,5030,5030,5030,88800,SGT
2019-05-28,5390,5390,5390,5390,31560,SGT
2019-05-29,5760,5760,5440,5750,181690,SGT
2019-05-30,5980,5990,5350,5510,26460,SGT
2019-05-31,5650,5650,5120,5120,15230,SGT
2019-06-03,4770,5410,4770,4770,37570,SGT
2019-06-04,4770,5100,4770,5100,47540,SGT
2019-06-05,5440,5450,5170,5450,35890,SGT
2019-06-06,5450,5820,5440,5600,15010,SGT
2019-06-07,5450,5750,5210,5510,33830,SGT
2019-06-10,5170,5580,5140,5140,21730,SGT
2019-06-11,5170,5470,5170,5370,9240,SGT
2019-06-12,5370,5440,5170,5340,4610,SGT
2019-06-13,5510,5510,5230,5350,8340,SGT
2019-06-14,5650,5650,5010,5010,24170,SGT
2019-06-17,5340,5340,4820,5250,2680,SGT
2019-06-18,5300,5300,4960,5030,18130,SGT
2019-06-19,5030,5290,5030,5030,13600,SGT
2019-06-20,4760,5300,4760,5030,5710,SGT
2019-06-21,5020,5230,5020,5020,1860,SGT
2019-06-24,5020,5020,4820,4830,6970,SGT
2019-06-25,4770,4830,4750,4750,7100,SGT
2019-06-26,4890,4890,4820,4860,450,SGT
2019-06-27,4820,4860,4520,4860,10200,SGT
2019-06-28,4860,4860,4860,4860,0,SGT
2019-07-01,4860,4860,4680,4820,5850,SGT
2019-07-02,4480,4740,4480,4740,42630,SGT
2019-07-03,4420,4730,4410,4410,7390,SGT
2019-07-04,4410,4720,4120,4680,6330,SGT
2019-07-05,4680,4680,4390,4410,4340,SGT
2019-07-08,4610,4610,4280,4280,450,SGT
2019-07-09,4270,4460,4270,4450,3240,SGT
2019-07-10,4420,4590,4340,4550,20330,SGT
2019-07-11,4550,4820,4340,4550,5480,SGT
2019-07-12,4360,4410,4350,4350,5520,SGT
2019-07-15,4360,4650,4290,4610,1460,SGT
2019-07-16,4310,4480,4300,4480,2030,SGT
2019-07-17,4300,4480,4300,4480,5520,SGT
2019-07-18,4480,4480,4480,4480,0,SGT
2019-07-19,4480,4480,4480,4480,0,SGT
2019-07-22,4340,4550,4340,4480,33000,SGT
2019-07-23,4350,4350,4350,4350,240,SGT
2019-07-24,4480,4480,4340,4410,160,SGT
2019-07-25,4480,4520,4410,4480,17950,SGT
2019-07-26,4580,4580,4550,4550,2270,SGT
2019-07-29,4550,4550,4550,4550,1200,SGT
2019-07-30,4610,4610,4610,4610,10,SGT
2019-07-31,4480,4480,4480,4480,10000,SGT
2019-08-01,4680,4680,4480,4550,1710,SGT
2019-08-02,4550,4550,4550,4550,1280,SGT
2019-08-05,4270,4550,4270,4530,2010,SGT
2019-08-06,4280,4680,4270,4680,7270,SGT
2019-08-07,4280,4750,4550,4640,4850,SGT
2019-08-08,4550,4580,4550,4550,580,SGT
2019-08-09,4270,4540,4240,4300,13410,SGT
2019-08-12,4550,4600,4480,4550,610,SGT
2019-08-13,4590,4590,4300,4550,1470,SGT
2019-08-14,4550,4550,4240,4500,2010,SGT
2019-08-15,4340,4540,4340,4460,60,SGT
2019-08-16,4460,4460,4300,4440,670,SGT
2019-08-19,4470,4470,4440,4440,4040,SGT
2019-08-20,4440,4440,4200,4400,3000,SGT
2019-08-21,4400,4400,4400,4400,0,SGT
2019-08-22,4340,4340,4340,4340,600,SGT
2019-08-23,4410,4410,4040,4280,25600,SGT
2019-08-26,4200,4200,4059,4200,2110,SGT
2019-08-27,4200,4200,4130,4200,2100,SGT
2019-08-28,4190,4190,4190,4190,250,SGT
2019-08-29,4130,4480,4130,4340,8740,SGT
2019-08-30,4130,4340,4140,4150,4930,SGT
2019-09-03,4440,4440,4270,4370,5530,SGT
2019-09-04,4440,4370,4240,4240,2680,SGT
2019-09-05,4400,4400,3990,4310,10330,SGT
2019-09-06,4440,4440,4440,4440,100,SGT
2019-09-09,4420,4420,4130,4130,150,SGT
2019-09-10,4300,4300,3990,4260,25710,SGT
2019-09-11,4059,4059,3970,3970,8710,SGT
2019-09-12,4130,4170,4130,4130,2160,SGT
2019-09-13,4130,4400,4130,4130,760,SGT
2019-09-16,4200,4200,4200,4200,20,SGT
2019-09-17,3970,4200,3960,3970,3470,SGT
2019-09-18,3890,4130,3890,4130,710,SGT
2019-09-19,4059,4110,3870,3870,4820,SGT
2019-09-20,4110,4110,3870,3870,13500,SGT
2019-09-23,4059,4059,3880,3880,570,SGT
2019-09-24,3860,3930,3860,3930,1580,SGT
2019-09-25,3930,4059,3930,4059,1010,SGT
2019-09-26,4059,4350,4059,4340,18210,SGT
2019-09-27,4460,4640,4460,4640,38990,SGT
2019-09-30,4960,4970,4830,4970,75080,SGT
2019-10-01,4990,4990,4960,4960,12180,SGT
2019-10-02,4970,4970,4820,4820,21220,SGT
2019-10-03,4960,4960,4820,4820,19200,SGT
2019-10-04,4890,4890,4480,4510,21400,SGT
2019-10-07,4820,4820,4820,4820,8360,SGT
2019-10-08,4820,4820,4820,4820,2230,SGT
2019-10-09,4520,4520,4520,4520,100,SGT
2019-10-10,4550,4550,4550,4550,10,SGT
2019-10-11,4750,4750,4750,4750,1000,SGT
2019-10-14,4480,4810,4480,4810,5110,SGT
2019-10-15,4490,4490,4490,4490,10,SGT
2019-10-16,4750,4750,4740,4740,1500,SGT
2019-10-17,4740,4980,4740,4740,1230,SGT
2019-10-18,4740,4740,4480,4610,520120,SGT
2019-10-21,4750,4750,4680,4680,330,SGT
2019-10-22,4610,4610,4610,4610,50,SGT
2019-10-23,4300,4300,4300,4300,310,SGT
2019-10-24,4530,4540,4530,4540,20,SGT
2019-10-25,4710,4710,4550,4550,250,SGT
2019-10-28,4480,4580,4340,4580,1010,SGT
2019-10-29,4600,4600,4270,4270,600,SGT
2019-10-30,4510,4570,4510,4560,550,SGT
2019-10-31,4560,4600,4550,4550,230,SGT
2019-11-01,4610,4720,4230,4230,1410,SGT
2019-11-04,4230,4510,4030,4030,1260,SGT
2019-11-05,4140,4290,3790,3860,2370,SGT
2019-11-06,3860,4130,3790,3790,5750,SGT
2019-11-07,4050,4050,3580,3580,14310,SGT
2019-11-08,3830,3830,3450,3450,29630,SGT
2019-11-11,3680,3690,3450,3450,6810,SGT
2019-11-12,3450,3640,3450,3640,1590,SGT
2019-11-13,3650,3650,3410,3410,7030,SGT
2019-11-14,3410,3560,3240,3560,10200,SGT
2019-11-15,3580,3580,3390,3440,6440,SGT
2019-11-18,3440,3580,3440,3440,1260,SGT
2019-11-19,3510,3510,3260,3500,10250,SGT
2019-11-20,3500,3500,3280,3440,6410,SGT
2019-11-21,3470,3650,3320,3570,7100,SGT
2019-11-22,3450,3580,3440,3580,230,SGT
2019-11-25,3570,3570,3570,3570,190,SGT
2019-11-26,3550,3550,3380,3380,340,SGT
2019-11-27,3440,3440,3180,3440,1780,SGT
2019-11-28,3320,3320,3320,3320,650,SGT
2019-11-29,3540,3550,3540,3550,3750,SGT
2019-12-02,3720,3790,3620,3770,3410,SGT
2019-12-03,3720,3860,3510,3510,1270,SGT
2019-12-04,3730,3730,3420,3650,380,SGT
2019-12-05,3900,3900,3860,3860,40,SGT
2019-12-06,3900,3900,3790,3850,4330,SGT
2019-12-09,3990,3990,3790,3790,280,SGT
2019-12-10,3790,3790,3530,3720,12380,SGT
2019-12-11,3780,3780,3580,3720,1180,SGT
2019-12-12,3580,3780,3580,3780,360,SGT
2019-12-13,3780,3780,3780,3780,0,SGT
2019-12-16,3780,3780,3780,3780,0,SGT
2019-12-17,3520,3520,3520,3520,890,SGT
2019-12-18,3620,3760,3320,3350,980,SGT
2019-12-19,3350,3370,3130,3370,6700,SGT
2019-12-20,3180,3370,3180,3370,10020,SGT
2019-12-23,3240,3420,3240,3420,330,SGT
2019-12-24,3440,3440,3420,3440,1580,SGT
2019-12-25,3310,3420,3310,3410,27450,SGT
2019-12-26,3370,3610,3310,3610,1991420,SGT
2019-12-27,3440,3570,3440,3570,510,SGT
2019-12-30,3570,3620,3570,3570,1510,SGT
2019-12-31,3340,3550,3340,3370,617220,SGT
2020-01-02,3410,3410,3370,3410,910,SGT
2020-01-03,3420,3420,3310,3410,335060,SGT
2020-01-06,3280,3480,3280,3310,3240,SGT
2020-01-07,3310,3440,3310,3440,14370,SGT
2020-01-08,3440,3440,3350,3430,690,SGT
2020-01-09,3310,3430,3310,3430,510,SGT
2020-01-10,3260,3420,3260,3420,240,SGT
2020-01-13,3650,3650,3220,3270,100070,SGT
2020-01-14,3270,3440,3270,3440,2020,SGT
2020-01-15,3280,3430,3280,3430,5140,SGT
2020-01-16,3430,3430,3420,3420,3670,SGT
2020-01-17,3220,3420,3220,3420,30,SGT
2020-01-20,3240,3310,3240,3310,6100,SGT
2020-01-21,3510,3510,3310,3370,420,SGT
2020-01-22,3440,3440,3440,3440,10,SGT
2020-01-30,3310,3500,3300,3500,30510,SGT
2020-01-31,3630,3630,3480,3480,230,SGT
2020-02-03,3730,3730,3240,3440,4410,SGT
2020-02-04,3310,3310,3200,3300,2700,SGT
2020-02-05,3510,3510,3510,3510,10,SGT
2020-02-06,3710,3710,3710,3710,10,SGT
2020-02-07,3710,3710,3710,3710,0,SGT
2020-02-10,3710,3710,3710,3710,0,SGT
2020-02-11,3470,3470,3460,3460,2600,SGT
2020-02-12,3240,3460,3240,3460,3310,SGT
2020-02-13,3440,3440,3440,3440,50,SGT
2020-02-14,3440,3440,3200,3440,4340,SGT
2020-02-17,3440,3440,3310,3400,13490,SGT
2020-02-18,3310,3400,3170,3400,7870,SGT
2020-02-19,3570,3570,3570,3570,10,SGT
2020-02-20,3340,3480,3330,3330,600,SGT
2020-02-21,3310,3350,3310,3310,7710,SGT
2020-02-24,3310,3310,3300,3300,810,SGT
2020-02-25,3270,3440,3240,3370,6930,SGT
2020-02-26,3420,3420,3170,3370,10810,SGT
2020-02-27,3420,3420,3420,3420,10,SGT
2020-02-28,3240,3430,3190,3430,5830,SGT
2020-03-02,3650,3660,3200,3200,6830,SGT
2020-03-03,3140,3410,3130,3410,6320,SGT
2020-03-04,3440,3440,3440,3440,10,SGT
2020-03-05,3330,3370,3200,3290,3000,SGT
2020-03-06,3070,3280,3070,3280,210,SGT
2020-03-09,3370,3370,3060,3060,750,SGT
2020-03-10,2840,3020,2840,3020,260,SGT
2020-03-11,3020,3020,2820,3000,340,SGT
